study_id,study_label,panel_label,format,construct,dimension,component,pairs,mean,positive_fraction
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,income,ext_dis,6379,0.04134223056036824,0.5565135601191409
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,income,ext_dis,396,0.033976498389377184,0.5328282828282829
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,environmental_concern,income,ext_grp,296,0.012782972470472477,0.5371621621621622
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,policy,income,ext_grp,6379,0.004980971152185538,0.48832105345665466
a1r_climate,A1R Climate,A1R Climate,deliberative_poll,climate_belief,income,ext_grp,396,0.00960326221856971,0.5126262626262627
celaya,Celaya,Celaya,facilitated_discussion,policy,combined,ext_adv,30,-0.10833333333333331,0.16666666666666666
celaya,Celaya,Celaya,facilitated_discussion,policy,combined,ext_dis,30,-0.003571428571428577,0.4
celaya,Celaya,Celaya,facilitated_discussion,policy,combined,ext_grp,30,-0.014444444444444442,0.36666666666666664
celaya,Celaya,Celaya,facilitated_discussion,policy,education,ext_adv,52,-0.10976419413919415,0.1346153846153846
celaya,Celaya,Celaya,facilitated_discussion,policy,education,ext_dis,52,0.01213213869463869,0.4807692307692308
celaya,Celaya,Celaya,facilitated_discussion,policy,education,ext_grp,52,-0.018612637362637362,0.3269230769230769
celaya,Celaya,Celaya,facilitated_discussion,policy,gender,ext_adv,54,-0.08684781011169901,0.2222222222222222
celaya,Celaya,Celaya,facilitated_discussion,policy,gender,ext_dis,54,0.03384589947089948,0.5185185185185185
celaya,Celaya,Celaya,facilitated_discussion,policy,gender,ext_grp,54,-0.010802469135802469,0.4074074074074074
celaya,Celaya,Celaya,facilitated_discussion,policy,income,ext_adv,53,-0.07255166217430367,0.1509433962264151
celaya,Celaya,Celaya,facilitated_discussion,policy,income,ext_dis,53,0.024371069182389942,0.5660377358490566
celaya,Celaya,Celaya,facilitated_discussion,policy,income,ext_grp,53,-0.01680143755615453,0.3584905660377358
echo,UK partisan discussion,UK: same-party,partisan_discussion,policy,gender,ext_adv,162,-0.05366696061140507,0.32098765432098764
echo,UK partisan discussion,UK: same-party,partisan_discussion,policy,gender,ext_dis,162,0.013196649029982362,0.42592592592592593
echo,UK partisan discussion,UK: same-party,partisan_discussion,policy,gender,ext_grp,162,-0.019341563786008233,0.43209876543209874
echo,UK partisan discussion,UK: mixed-party,mixed_partisan_discussion,policy,gender,ext_adv,156,-0.03851495726495728,0.30128205128205127
echo,UK partisan discussion,UK: mixed-party,mixed_partisan_discussion,policy,gender,ext_dis,156,0.026688034188034174,0.5
echo,UK partisan discussion,UK: mixed-party,mixed_partisan_discussion,policy,gender,ext_grp,156,-0.005973748473748472,0.4166666666666667
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,combined,ext_adv,94,-0.09574468085106384,0.11702127659574468
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,combined,ext_adv,68,-0.12867647058823528,0.04411764705882353
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,combined,ext_dis,94,0.09574468085106384,0.35106382978723405
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,combined,ext_dis,68,0.10294117647058823,0.39705882352941174
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,combined,ext_grp,94,0,0.3404255319148936
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,combined,ext_grp,68,-0.012867647058823522,0.29411764705882354
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,education,ext_adv,201,-0.1082089552238806,0.10945273631840796
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,education,ext_adv,158,-0.12658227848101267,0.08227848101265822
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,education,ext_dis,201,0.11442786069651743,0.39800995024875624
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,education,ext_dis,158,0.10126582278481013,0.4240506329113924
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,education,ext_grp,201,0.003109452736318375,0.35323383084577115
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,education,ext_grp,158,-0.012658227848101266,0.3227848101265823
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,income,ext_adv,362,-0.09392265193370163,0.1298342541436464
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,income,ext_adv,295,-0.09661016949152544,0.12203389830508475
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,income,ext_dis,362,0.12223756906077349,0.43922651933701656
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,income,ext_dis,295,0.09406779661016952,0.38305084745762713
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,affect,income,ext_grp,362,0.014157458563535874,0.36187845303867405
whatsapp,WhatsApp India,WhatsApp: gen_HH,dyadic_online_gen_HH,stereotype_judgment,income,ext_grp,295,-0.001271186440677934,0.33220338983050846
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,combined,ext_adv,97,-0.0695876288659794,0.16494845360824742
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,combined,ext_adv,99,-0.1085858585858586,0.13131313131313133
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,combined,ext_dis,97,0.15206185567010314,0.4845360824742268
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,combined,ext_dis,99,0.12373737373737376,0.43434343434343436
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,combined,ext_grp,97,0.04123711340206184,0.44329896907216493
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,combined,ext_grp,99,0.007575757575757583,0.36363636363636365
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,education,ext_adv,146,-0.0684931506849315,0.17123287671232876
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,education,ext_adv,129,-0.12984496124031009,0.11627906976744186
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,education,ext_dis,146,0.0873287671232877,0.3835616438356164
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,education,ext_dis,129,0.11240310077519382,0.4496124031007752
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,education,ext_grp,146,0.009417808219178089,0.3767123287671233
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,education,ext_grp,129,-0.008720930232558127,0.37209302325581395
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,income,ext_adv,303,-0.08993399339933994,0.132013201320132
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,income,ext_adv,251,-0.10657370517928286,0.11553784860557768
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,income,ext_dis,303,0.14521452145214525,0.45874587458745875
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,income,ext_dis,251,0.1444223107569721,0.44223107569721115
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,affect,income,ext_grp,303,0.027640264026402652,0.39933993399339934
whatsapp,WhatsApp India,WhatsApp: gen_HM,dyadic_online_gen_HM,stereotype_judgment,income,ext_grp,251,0.018924302788844632,0.3545816733067729
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,combined,ext_adv,16,-0.078125,0.125
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,combined,ext_adv,12,-0.04166666666666667,0.16666666666666666
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,combined,ext_dis,16,0.0625,0.375
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,combined,ext_dis,12,0.10416666666666666,0.25
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,combined,ext_grp,16,-0.0078125,0.375
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,combined,ext_grp,12,0.03125,0.3333333333333333
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,education,ext_adv,89,-0.10955056179775283,0.23595505617977527
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,education,ext_adv,71,-0.15845070422535215,0.09859154929577464
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,education,ext_dis,89,0.12640449438202248,0.43820224719101125
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,education,ext_dis,71,0.10915492957746481,0.4788732394366197
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,education,ext_grp,89,0.008426966292134847,0.3707865168539326
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,education,ext_grp,71,-0.024647887323943657,0.2676056338028169
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,income,ext_adv,281,-0.11209964412811385,0.1103202846975089
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,income,ext_adv,235,-0.10957446808510636,0.12340425531914893
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,income,ext_dis,281,0.11120996441281128,0.4092526690391459
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,income,ext_dis,235,0.06702127659574465,0.3191489361702128
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,affect,income,ext_grp,281,-4.448398576511857e-4,0.35231316725978645
whatsapp,WhatsApp India,WhatsApp: igr_HH,dyadic_online_igr_HH,stereotype_judgment,income,ext_grp,235,-0.021276595744680868,0.2680851063829787
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,combined,ext_adv,52,-0.08653846153846154,0.1346153846153846
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,combined,ext_adv,47,-0.06382978723404256,0.14893617021276595
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,combined,ext_dis,52,0.11538461538461536,0.34615384615384615
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,combined,ext_dis,47,0.08510638297872339,0.40425531914893614
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,combined,ext_grp,52,0.014423076923076946,0.36538461538461536
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,combined,ext_grp,47,0.010638297872340429,0.3829787234042553
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,education,ext_adv,144,-0.11458333333333336,0.08333333333333333
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,education,ext_adv,126,-0.10119047619047618,0.11904761904761904
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,education,ext_dis,144,0.0503472222222222,0.3125
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,education,ext_dis,126,0.0476190476190476,0.3412698412698413
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,education,ext_grp,144,-0.03211805555555554,0.2708333333333333
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,education,ext_grp,126,-0.026785714285714277,0.2619047619047619
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,income,ext_adv,240,-0.061458333333333316,0.1625
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,income,ext_adv,184,-0.09103260869565219,0.16304347826086957
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,income,ext_dis,240,0.10416666666666666,0.3958333333333333
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,income,ext_dis,184,0.09375,0.3423913043478261
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,affect,income,ext_grp,240,0.021354166666666653,0.3958333333333333
whatsapp,WhatsApp India,WhatsApp: igr_HM,dyadic_online_igr_HM,stereotype_judgment,income,ext_grp,184,0.001358695652173907,0.31521739130434784
cross_party,US cross-party conversation,US cross-party conversation,dyadic_cross_party,affect,gender,ext_adv,624,-0.03046474358974359,0.3076923076923077
cross_party,US cross-party conversation,US cross-party conversation,dyadic_cross_party,affect,gender,ext_dis,624,0.025016025641025636,0.3717948717948718
cross_party,US cross-party conversation,US cross-party conversation,dyadic_cross_party,affect,gender,ext_grp,624,-0.0027243589743589703,0.42948717948717946
consensus_1,Consensus: pupils,Consensus: pupils,classroom_discussion,policy,gender,ext_adv,41,-0.12398373983739838,0.24390243902439024
consensus_1,Consensus: pupils,Consensus: pupils,classroom_discussion,policy,gender,ext_dis,41,0.024728997289972892,0.34146341463414637
consensus_1,Consensus: pupils,Consensus: pupils,classroom_discussion,policy,gender,ext_grp,41,-0.03570460704607044,0.34146341463414637
consensus_2,Consensus: students,Consensus: students,laboratory_discussion,policy,gender,ext_adv,24,-0.026041666666666675,0.20833333333333334
consensus_2,Consensus: students,Consensus: students,laboratory_discussion,policy,gender,ext_dis,24,-0.010416666666666671,0.2916666666666667
consensus_2,Consensus: students,Consensus: students,laboratory_discussion,policy,gender,ext_grp,24,0.0017361111111111164,0.3333333333333333
diplomacy,Diplomacy lab,Diplomacy: structured,triadic_structured_discussion,policy,gender,ext_adv,17,-0.0735294117647059,0.11764705882352941
diplomacy,Diplomacy lab,Diplomacy: structured,triadic_structured_discussion,social_judgment,gender,ext_adv,5,-0.05000000000000001,0.2
diplomacy,Diplomacy lab,Diplomacy: structured,triadic_structured_discussion,policy,gender,ext_dis,17,0.1176470588235294,0.47058823529411764
diplomacy,Diplomacy lab,Diplomacy: structured,triadic_structured_discussion,social_judgment,gender,ext_dis,5,0,0
diplomacy,Diplomacy lab,Diplomacy: structured,triadic_structured_discussion,policy,gender,ext_grp,17,0.01470588235294118,0.4117647058823529
diplomacy,Diplomacy lab,Diplomacy: structured,triadic_structured_discussion,social_judgment,gender,ext_grp,5,-0.05,0.2
diplomacy,Diplomacy lab,Diplomacy: unstructured,triadic_unstructured_discussion,policy,gender,ext_adv,17,-0.125,0.11764705882352941
diplomacy,Diplomacy lab,Diplomacy: unstructured,triadic_unstructured_discussion,social_judgment,gender,ext_adv,3,0.04166666666666667,0.3333333333333333
diplomacy,Diplomacy lab,Diplomacy: unstructured,triadic_unstructured_discussion,policy,gender,ext_dis,17,-0.029411764705882346,0.23529411764705882
diplomacy,Diplomacy lab,Diplomacy: unstructured,triadic_unstructured_discussion,social_judgment,gender,ext_dis,3,0.04166666666666667,0.3333333333333333
diplomacy,Diplomacy lab,Diplomacy: unstructured,triadic_unstructured_discussion,policy,gender,ext_grp,17,-0.06862745098039216,0.11764705882352941
diplomacy,Diplomacy lab,Diplomacy: unstructured,triadic_unstructured_discussion,social_judgment,gender,ext_grp,3,0.027777777777777773,0.3333333333333333
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,policy,education,ext_adv,75,-0.049396825396825404,0.29333333333333333
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,belief,education,ext_adv,8,-0.07269345238095237,0.125
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,policy,education,ext_dis,75,0.08743650793650794,0.6
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,belief,education,ext_dis,8,0.03563988095238095,0.5
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,policy,education,ext_grp,75,0.02708994708994709,0.52
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,belief,education,ext_grp,8,-0.016059027777777787,0.375
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,policy,gender,ext_adv,57,-0.06390977443609022,0.24561403508771928
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,belief,gender,ext_adv,5,-0.09702380952380951,0.4
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,policy,gender,ext_dis,57,0.054824561403508755,0.42105263157894735
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,belief,gender,ext_dis,5,-0.041666666666666664,0.2
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,policy,gender,ext_grp,57,-0.0046383319409635144,0.40350877192982454
shizuoka,Shizuoka,Shizuoka,deliberative_mini_public,belief,gender,ext_grp,5,-0.04871031746031745,0.2
